Year,GMSL_noGIA,GMSL_GIA,South_Extent,North_Extent
1993,-34.6054054054054,-34.483783783783785,18.71,16.048
1994,-30.95108108108108,-30.58432432432432,18.827,15.77
1995,-28.645945945945954,-28.019459459459462,18.762,15.384
1996,-26.59638888888888,-25.744166666666665,18.831,15.484
1997,-22.68243243243243,-21.59108108108108,18.792,15.684
1998,-25.060540540540536,-23.726486486486483,19.244,16.07
1999,-21.812432432432434,-20.228648648648644,18.981,15.627
2000,-18.425405405405407,-16.59756756756757,19.159,15.498
2001,-13.21918918918919,-11.145405405405405,18.494,15.742
2002,-9.37277777777778,-7.059722222222223,18.116,15.624
2003,-6.318108108108109,-3.7635135135135145,18.68,15.629
2004,-4.425135135135133,-1.6235135135135137,19.124,15.3
2005,-0.030810810810811114,3.015405405405405,19.295,14.993
2006,1.091666666666667,4.3725,19.36,14.777
2007,1.487837837837838,5.022432432432433,19.086,14.842
2008,3.5491666666666664,7.328888888888888,18.298,15.354
2009,8.41135135135135,12.431351351351354,19.299,15.195
2010,9.39135135135135,13.653513513513515,18.998,15.351
2011,8.429729729729727,12.935945945945944,18.954,14.704
2012,19.255675675675676,24.00297297297297,19.478,15.307
2013,21.304054054054056,26.298648648648648,19.608,15.196
2014,24.850833333333338,30.078333333333337,20.201,15.007
2015,35.42135135135136,40.89675675675675,18.912,14.554
