Year,GMSL_noGIA,GMSL_GIA,South_Extent,North_Extent
1993,-34.6054054054054,-34.483783783783785,2.281,6.161
1994,-30.95108108108108,-30.58432432432432,3.083,6.934
1995,-28.645945945945954,-28.019459459459462,3.33,6.012
1996,-26.59638888888888,-25.744166666666665,2.597,7.147
1997,-22.68243243243243,-21.59108108108108,2.264,6.602
1998,-25.060540540540536,-23.726486486486483,2.772,6.293
1999,-21.812432432432434,-20.228648648648644,2.707,5.676
2000,-18.425405405405407,-16.59756756756757,2.582,5.943
2001,-13.21918918918919,-11.145405405405405,3.441,6.567
2002,-9.37277777777778,-7.059722222222223,2.697,5.625
2003,-6.318108108108109,-3.7635135135135145,3.626,5.969
2004,-4.425135135135133,-1.6235135135135137,3.259,5.77
2005,-0.030810810810811114,3.015405405405405,2.804,5.314
2006,1.091666666666667,4.3725,2.487,5.746
2007,1.487837837837838,5.022432432432433,2.723,4.147
2008,3.5491666666666664,7.328888888888888,3.692,4.548
2009,8.41135135135135,12.431351351351354,2.671,5.047
2010,9.39135135135135,13.653513513513515,2.842,4.59
2011,8.429729729729727,12.935945945945944,2.319,4.333
2012,19.255675675675676,24.00297297297297,3.111,3.34
2013,21.304054054054056,26.298648648648648,3.679,5.04
2014,24.850833333333338,30.078333333333337,3.548,4.988
2015,35.42135135135136,40.89675675675675,3.544,4.387
