,year,north_extent,gmsl_gia
0,1993,11.9230520547945,-34.4837837837838
1,1994,12.0113178082192,-30.5843243243243
2,1995,11.4151095890411,-28.0194594594595
3,1996,11.8407868852459,-25.7441666666667
4,1997,11.6676136986301,-21.5910810810811
5,1998,11.7573808219178,-23.7264864864865
6,1999,11.6914657534247,-20.2286486486486
7,2000,11.508174863388,-16.5975675675676
8,2001,11.6000164383562,-11.1454054054054
9,2002,11.3628657534247,-7.05972222222222
10,2003,11.3972219178082,-3.76351351351351
11,2004,11.2404344262295,-1.62351351351351
12,2005,10.9069753424657,3.01540540540541
13,2006,10.7726136986301,4.3725
14,2007,10.474095890411,5.02243243243243
15,2008,10.9778469945355,7.32888888888889
16,2009,10.9319698630137,12.4313513513514
17,2010,10.7113917808219,13.6535135135135
18,2011,10.483495890411,12.9359459459459
19,2012,10.4060983606557,24.002972972973
20,2013,10.8971150684932,26.2986486486486
21,2014,10.790495890411,30.0783333333333
22,2015,10.5658164383562,40.8967567567568
23,2016,10.1634781420765,43.2783783783784
24,2017,10.392701369863,44.3451351351351
25,2018,10.3269643835616,48.6105405405405
