year,hemisphere,extent,totalweightedobservations,gmsl_gia
2019,north,13.6105099337748,319270.712432432,55.7456756756757
2018,north,10.3269643835616,334443.864594595,48.6105405405405
2017,north,10.392701369863,334522.003243243,44.3451351351351
2016,north,10.1634781420765,332000.924864865,43.2783783783784
2015,north,10.5658164383562,333484.307567568,40.8967567567568
2014,north,10.790495890411,332957.330833333,30.0783333333333
2013,north,10.8971150684932,317516.704864865,26.2986486486486
2012,north,10.4060983606557,334590.034054054,24.002972972973
2011,north,10.483495890411,334977.969189189,12.9359459459459
2010,north,10.7113917808219,334573.474864865,13.6535135135135
2009,north,10.9319698630137,331113.233513513,12.4313513513514
2008,north,10.9778469945355,327961.500277778,7.32888888888889
2007,north,10.474095890411,334325.841351351,5.02243243243243
2006,north,10.7726136986301,326130.435833333,4.3725
2005,north,10.9069753424657,326065.119459459,3.01540540540541
2004,north,11.2404344262295,325639.569189189,-1.62351351351351
2003,north,11.3972219178082,324636.858108108,-3.76351351351351
2002,north,11.3628657534247,329781.345277778,-7.05972222222222
2001,north,11.6000164383562,323126.685405405,-11.1454054054054
2000,north,11.508174863388,320497.357567567,-16.5975675675676
1999,north,11.6914657534247,318321.08945946,-20.2286486486486
1998,north,11.7573808219178,320066.615675676,-23.7264864864865
1997,north,11.6676136986301,321345.634054054,-21.5910810810811
1996,north,11.8407868852459,323979.240277778,-25.7441666666667
1995,north,11.4151095890411,317986.154864865,-28.0194594594595
1994,north,12.0113178082192,323836.882162162,-30.5843243243243
1993,north,11.9230520547945,319044.908648649,-34.4837837837838
